在原文件第几行	插值缺少几行
23368	8
23376	1
23384	6
23394	3
23428	2
23438	4
23449	1
24539	235
25457	64
25544	5
25584	118
25801	538
26017	2
26310	40
26543	48
27014	64
27520	65
27850	46
28536	2614
28863	11481
28874	52
28921	129
29007	57
29225	4371
30411	629
30535	310
30917	984
31283	47
32805	77
32917	44
33104	1
33105	1
33480	32
33601	52
33710	85
33924	10
34113	10
34133	9
34143	4
34193	1
34202	10
34348	580
34800	3
34946	2
34953	2
35093	3
35274	3
35362	3
35398	1
35457	1
35464	3
35480	1
35483	1
35511	1
35514	2
35521	2
35548	2
35628	1
35634	1
35640	1
35648	1
35652	1
35662	1
35668	2
35714	1
35718	1
35723	1
35729	2
35928	129
35957	22
35961	2
36045	118
36200	1199
36674	109
36861	1
36863	1
37963	59
37987	41
39265	37
39876	1
39877	7
39878	1
39896	2
39924	8
40037	60
40393	54
40719	23
41114	1
41119	9
41541	1
41553	8
41573	7
41579	264
41592	1
41602	1
41606	1
41614	1
41618	1
41620	1
41630	1
41634	1
41642	1
41648	1
41654	8
41684	1
41687	1
41696	1
41702	1
41713	1
41716	1
41722	2
41723	1
41740	8
41753	72
41766	1
41768	1
41778	1
41782	1
41795	1
41796	1
41807	1
41811	1
41824	1
41825	1
41836	1
41839	1
41853	1
41854	1
41865	1
41868	1
41875	5
41877	1
41890	1
41892	4
41893	3
41897	1
41914	1
41916	1
41931	1
41944	1
41946	1
41961	1
41974	1
41976	1
41991	1
42004	1
42022	1
42035	1
42052	1
42066	1
42079	1
42082	1
42086	4
42106	1
42109	1
42123	1
42136	1
42138	1
42153	1
42166	1
42168	1
42183	1
42196	1
42214	1
42227	1
42238	3
42239	1
42240	1
42254	1
42271	1
42285	1
42317	1
42324	183
42490	11
42539	1
42540	9
42993	11
43092	11
43099	54
43176	48
43288	11
43307	1
43308	1
43311	1
43318	3
43319	2
43429	2
43483	1
43497	2
43805	2
43826	2
43829	6
43831	3
43872	11
43994	2
44080	8
44081	2
44089	1
44218	65
44452	69
44624	112
45220	6
45221	4
45227	1
45228	79
45533	1
45840	61
45859	1
45876	1
45890	1
45905	11
46403	1
46588	79
47084	53
47194	140
47236	1
47260	1
47267	75
47328	4
47357	974
47399	1
47403	5
47404	1
47422	137
47426	3
47428	4
47432	2
47436	1
47474	6
47475	3
47481	1
47504	10
47834	10
47887	5
47987	3
48072	5
48093	10
48103	3
48456	31552
48861	935
48923	54
49180	178
49705	2
49708	1
49749	1
49750	13
49767	1
49776	7
49777	9
49798	16
49826	2
49835	1
49838	1
49841	1
49859	5
49860	11
49863	1
49868	1
49880	1
49882	1
49886	4
49888	1
49893	1
49895	2
49906	1
49916	1
49917	4
49944	1
49946	4
49958	1
49959	1
49961	10
49964	1
49978	1
49979	1
49990	1
49993	1
50007	1
50020	1
50023	1
50037	1
50050	1
50052	1
50067	1
50080	1
50082	1
50097	1
50110	1
50112	1
50127	1
50140	1
50141	1
50152	1
50156	1
50169	1
50170	1
50181	1
50190	1
50217	17
50228	1
50231	1
50238	5
50240	1
50253	1
50270	4
50273	3
50377	1
50412	17
50425	1
50442	1
50527	41
50615	81
51808	1
51817	731
52542	50
52904	698
54450	4850
55151	1552
56417	63
56600	127
56918	29
57030	131
57037	48
57121	41
57158	113
57447	1708
57533	21
58455	173
59003	46
59006	239
60195	45
60268	163
60394	1391
60834	39
60872	47
62033	63
62047	50
62949	42
64190	71
64981	47
65981	50
65984	45
66101	4
66419	91
66512	864
66722	55
66937	105
67077	75
68335	43
68784	48
69053	8
69151	44
69304	79
70982	125
71569	296
72927	114
73051	40
73115	8
73121	1
73123	109
73292	193
73295	133
73373	7
73402	35
73420	8
73421	1
73425	1
73643	40
73766	41
74274	1
74285	4
74676	45
74759	95
74779	53
75085	995
75313	1
75575	67
76181	55
76462	42
76926	69
77065	1201
77580	140
77861	860
78192	48
78369	65
78562	64
78739	3
78816	23
78926	41
79096	81
79177	18
79231	63
79313	4
79357	3
79359	4
79362	2
79407	14
79409	47
79459	47
79656	18
79772	225
80077	7
80082	6
80089	5
80119	1
80137	2
80142	1
80237	3
80264	18
80323	41
80475	57
80614	1
80618	2
80640	7
80712	5
80778	18
80922	1
80940	4
80966	1
80974	4
81068	18
81217	1
81246	4
81249	7
81267	11
81293	1
81342	1
81401	2
81704	37
81722	14
81750	1
81751	1
81764	4
82033	4
82036	34
82037	18
82076	4
82080	3
82107	107
82148	31857
82275	1198
82302	37
82518	885
83061	5
83086	10
83254	1
83261	2
83262	1
83406	2
83408	8
83418	2
83426	8
83499	16
83519	7
83616	1
83640	36
83746	7
83757	2
83764	11
83796	22
83813	20
83817	36
84278	49
84450	947
84920	873
84990	54
86320	49
86381	69
86486	1620
86592	51
86636	193
86637	372
88100	43
88681	38
88862	134
88884	61
89167	38
89192	38
89834	27
89869	41
89879	46
89922	1
89928	1
90340	60
90823	94
91008	56
91495	95
91759	1
91763	5
91766	3
91828	2
91841	1
91874	4
92093	53
92317	40
92325	54
92521	38
92734	37
93062	5
93155	1
93229	1
93241	3
93247	2
93274	1
93344	1
93354	3
93380	3
93415	10
93419	2
93540	72
93556	10
93572	5
93717	1
94070	63
94291	49
94406	34
94516	54
94714	36
94827	38
94959	127
95172	16
95362	6
95390	16
95577	48
95961	73
96649	1115
97724	46
97738	48
97764	294
97915	41
97920	85
97925	98
98065	1
98162	68
98235	1493
98456	40
100679	59
100959	41
101410	39
101440	14
101441	10
101443	1
101453	1
101454	96
101558	25
101559	1
101704	25
101707	1
101716	1
101722	1
101728	1
102262	59
102608	192
102731	137
103509	66
103626	156
103796	41
103988	45
104712	63
104832	631
105221	68
105476	53
105553	32
105702	91
105774	5
106006	42
106241	1
106250	1
106253	1
106262	49
106499	1
106505	1
106507	12
107007	32
107097	52
107268	37
107279	58
107414	3
107510	5
107581	47
107596	1
107612	3
107616	1
107634	3
107636	1
107651	1
107664	1
107672	4
107677	2
107681	5
107718	1
107726	3
107728	1
107742	2
107756	9
107771	398
107772	3
107788	1
107954	2
107961	392
108003	1
108075	4
108079	1
108166	1
108282	2
108294	8
108305	3
108308	1
108317	2
108323	1
108327	1
108376	9
108390	7
108438	4
108440	3
108449	6
108459	1
108471	9
108505	4
108807	92
109281	50
109401	44
109801	3
109808	41
111530	103
111986	40
112030	35
112812	82
112902	768
113037	59
113187	43
113190	47
113674	65
114541	73
114628	404
115181	67
115325	1
115332	11
115503	59
115593	53
116023	73
116139	1481
116244	68
116365	65
116434	44
116465	55
116595	7
116632	2
116730	5
116775	3
116794	69
116919	3
116943	5
116963	1
117025	4
117032	7
117137	59
117355	44
118238	61
118366	20
118404	3
118506	65
118710	7
118718	918
118804	1
118869	159
118872	5
118874	2
118906	20
118934	40
118950	20
119003	3
119008	2
119016	2
119019	5
119024	4
119072	20
119140	20
119456	10
119625	36
119761	20
119932	6
120120	67
120952	34
120972	1
120976	1
121018	1
121022	1
121077	1
121131	38
122314	52
122338	67
122482	7
122491	3
122852	19
122955	5
122956	13
122961	1
123133	10
123135	1
123136	5
123174	62
123194	7
123195	11
123202	1
123206	103
123223	28150
123362	39
123364	121
123402	59
123600	145
123725	102
123757	205
123821	57
123934	4
123938	27
123942	1
124015	3
124024	15
124035	9
124046	1
124049	7417
124072	6
124170	4
124209	6
124250	6
124356	6
124451	296
124698	86
125287	49
126397	112
126422	103
126580	1
126599	56
126665	1
127037	65
127568	49
127824	50
128083	83
128245	71
128255	50
130267	38
130483	60
131214	72
131911	24
132245	383
132251	54
132335	37
132628	62
133107	60
133155	86
133350	83
133358	56
133765	501
133857	223
133896	112
134620	53
134933	11
135604	45
135860	78
135862	74
135919	84
136311	59
136385	102
138043	47
138184	39
138191	64
138567	110
138588	43
138641	40
138647	42
138807	64
139680	348
140803	43
142379	1228
143349	1120
143513	42941
143579	167
143692	840
143763	98
144087	46
144277	258
144732	831
144931	71
144944	39
145366	2144
145740	1
145766	1
145767	27
145806	12
145830	1
145834	8
145837	7
145847	1
145901	29
145910	1
145914	1
145927	1
145928	1
145939	1
145940	2781
146056	4
146057	46
146160	4
146182	3
146201	4
146283	4
146359	4
146448	1
146549	4
146786	82
146878	73
147021	34
147053	136
147078	4
147181	4
147249	4
147291	2
147300	1
147315	1
147394	1331
147795	71
147815	113
147881	44
148203	2631
148898	49
149196	57
149506	230
149554	1
149900	40
149960	55
150476	55
150495	44
150501	49
150504	49
150627	1
151029	73
151522	681
151538	176
151541	55
151547	76
151794	52
152242	47
152473	49
153513	1
154004	51
154331	35
157697	50
157979	73
158215	66
158266	57
158707	1
159054	46
159114	1
159116	17
159117	24
159252	63
159267	206
159505	55
159775	37
160399	1580
161027	149
161351	59
161472	48
161880	73
162881	48
163044	47
163358	1104
163749	33
163914	954
164054	1
164307	83
164311	129
164392	42
164837	13
处理前列数 	164914
处理后列数 	165519
