在原文件第几行	插值缺少几行
13193	8898
13360	1220
13361	15
13362	2
13411	78
13552	6464
13998	2197
14092	7193
14244	3571
14327	1
15208	41
15883	170
16038	36
17382	259
17384	1
17385	1
17386	3
17387	3
17390	1
17420	1
17423	1
17426	3
17427	3
17440	1
17441	1
17446	3
17451	1
17466	1
17467	1
17468	1
17471	1
17476	1
17477	1
17482	1
17483	1
17484	1
17485	5
17486	1
17495	1
17496	3
17497	1
17498	1
17501	1
17518	1
17519	1
17539	1
17540	4
17551	6
17552	1
17571	1
17582	1
17585	1
17592	3
17593	1
17594	1
17597	1
17608	1
17609	1
17620	1
17629	1
17631	4
17632	1
17641	1
17642	5
17643	3
17644	1
17655	3
17656	1
17659	3
17662	1
17663	1
17702	2
17733	9
17734	1
17753	1
17754	1
17759	1
17760	1
17773	1
17780	1
17781	1
17784	1
17801	1
19631	2
19647	2235
20105	79
23909	1
25757	1
25758	1
26174	4
26303	3
26308	1
26315	1
26850	1
27512	1
27873	1
27876	1
27884	1
27904	1
27905	3
27910	1
28752	5
28757	1
28782	8
28809	2
28850	1
28856	1
28957	4
28981	5
28982	2
28993	57
29165	123
29783	1
29834	618
29941	1
29944	1
29994	1
30057	51
30077	1
30093	76
30318	270
30444	1
30519	1
30619	1
30626	1
30633	1
30634	1
30701	1
30749	590
31330	132
31382	1
31472	53
31812	1
31909	1
31912	4
31913	16
32097	1
32211	718
32241	1
33053	50
33190	113
33958	2
34292	1
34504	1
34523	1
36042	106
36625	29104
36636	1
36663	21
36694	1
36696	1
36725	1
36726	1
36737	1
36740	1
36755	1
36768	1
36786	8
36787	6
36788	2
36791	1
36814	1
36815	1
36817	16
36861	1
36862	1
36863	1
36864	1
36872	2
36873	1
36874	1
36879	1
36880	1
36895	1
36906	1
36917	1
36924	1
36925	60
36926	7
36927	10
36929	1
36936	18
36949	3
36952	3
36957	3
36958	3
36961	3
36978	1
36981	1
36984	3
36985	1
36986	1
36987	1
36988	1
36989	1
36990	1
36993	1
36994	1
36999	1
37000	1
37026	13
37027	7
37040	1
37053	1
37056	1
37057	3566
37439	4
37493	56
37494	44
37823	71
37841	9656
37846	1
37859	1
37861	1
37876	1
37889	1
37891	1
37906	1
37919	1
37921	1
37936	1
37949	1
37967	1
37980	1
37997	1
38011	1
38028	1
38042	1
38059	1
38073	1
38102	14699
38294	1
38305	1
38306	1
38357	1
38393	1
38421	1
38427	1
38428	1
38433	1
38438	1
38443	1
38480	1
38494	1
38508	1
38515	1
38518	1
38534	1
38563	1
38572	1
38597	1
38598	1
38603	1
38610	1
38611	1
38630	1
38639	1
38646	1
38651	1
38652	1
38657	1
38670	1
38682	1
38693	1
38696	1
38701	1
38710	1
38725	1
38728	1
38733	1
38748	1
38751	1
38756	1
38759	1
38762	1
38791	1
38798	1
38811	1
38824	1
38825	1
38828	1
38829	1
38834	1
38839	1
38844	1
38845	1
38860	1
38861	1
38877	1
38892	1
38901	1
38902	1
38909	1
38924	1
38927	1
38936	1
38937	1
38938	1
38941	1
38952	1
38953	1
39046	1
39130	2276
39133	3
39139	2
39277	1
39278	1
39299	2
39300	1
39301	39
39302	12
39333	1
39337	1
39346	3
39357	1
39380	1
39398	2
39401	1
39406	1
39407	1
39408	1
39411	1
39420	1
39433	1
39436	1
39486	1
39499	1
39504	1
39505	1
39518	1
39519	2
39520	1
39528	1
39535	2
39536	1
39542	3
39551	1
39560	2
39568	1
39577	3
39591	2
39609	1
39638	1
39639	3
39640	5
39642	2
39643	3
39646	4
39647	1
39650	1
39655	2
39675	1
39685	1
39686	6
39687	1
39688	4
39690	9
39691	19
39699	14
39700	1
39702	6
39731	1
39734	1
39741	1
39744	1
39745	1
39750	1
39773	1
39778	1
39779	1
39795	1
39832	1
39887	1
39890	1
39900	3
39914	1
39929	1
39940	1
39945	1
39948	1
39949	2
39956	1
39961	1
39967	1
39987	1
39994	1
40025	1
40046	1
40047	1
40052	1
40059	1
40062	1
40063	1
40070	1
40077	1
40088	1
40124	1
40127	1
40132	1
40141	1
40148	1
40157	1
40170	1
40175	1
40178	1
40185	1
40186	1
40187	1
40209	1
40213	1
40214	1
40221	1
40222	1
40223	3
40224	1
40236	1
40239	1
40246	1
40301	1
40304	1
40305	1
40306	1
40335	1
40336	1
40337	1
40344	1
40362	1
40372	2
40383	1
40390	1
40391	1
40403	3
40404	1
40424	1
40427	1
40428	3
40431	1
40434	1
40439	1
40440	1
40451	1
40460	2
40468	2
40471	1
40472	1
40473	7
40475	4
40477	2
40485	1
40498	2
40537	1
40540	1
40544	1
40546	1
40547	1
40555	2
40562	1
40563	1
40576	1
40579	1
40580	1
40581	1
40586	1
40589	1
40590	1
40593	1
40595	1
40600	1
40601	1
40602	1
40603	1
40604	3
40605	1
40606	3
40607	1
40610	1
40611	1
40626	1
40658	1
40807	1
40810	1
40837	1
40852	1
40855	1
40872	1
40877	1
40882	1
40885	1
40888	1
40889	1
40890	1
40892	3
40893	1
40894	1
40900	1
40903	1
40919	1
40928	1
40929	1
40956	1
40969	1
41012	1
41031	1
41032	1
41043	1
41048	2
41053	1
41058	1
41065	1
41075	1
41076	5
41080	1
41084	2
41101	1
41106	1
41111	1
41116	1
41117	1
41126	2
41143	7
41146	9
41152	1
41160	1
41210	2
41217	1
41220	1
41221	1
41235	4
41238	1
41243	1
41254	1
41268	11
41271	1
41272	1
41273	5
41274	1
41277	1
41322	1
41329	5
41334	1
41335	1
41344	1
41353	1
41354	1
41362	1
41363	3
41364	1
41365	3
41366	3
41367	2
41369	3
41371	1
41377	1
41379	1
41387	1
41391	2
41392	1
41424	2
41426	1
41434	1
41437	1
41442	1
41451	1
41470	1
41479	1
41486	1
41487	1
41492	1
41495	1
41498	1
41505	1
41520	1
41523	1
41526	1
41541	1
41557	1
41562	1
41563	1
41570	1
41575	1
41590	1
41611	1
41616	1
41619	1
41626	1
41631	1
41648	1
41653	3
41654	1
41655	3
41660	1
41668	3
41671	2
41674	1
41675	4
41676	8
41689	1
41693	1
41704	1
41789	1
41801	2
41810	1
41838	1
41863	1
41866	1
41883	1
41920	1
41931	1
41983	1
41992	1
41995	1
42016	1
42019	1
42026	3
42027	1
42032	1
42033	1
42035	1
42041	1
42043	1
42044	1
42048	1
42050	1
42051	2
42052	1
42072	1
42086	1
42090	1
42092	1
42114	1
42115	1
42116	4
42119	1
42120	10
42151	1
42152	1
42153	3
42154	1
42155	1
42172	1
42183	1
42192	1
42193	1
42196	1
42209	2
42213	1
42214	1
42216	1
42218	1
42219	2
42223	2
42224	1
42235	1
42238	1
42243	1
42324	3
42325	1
42326	1
42327	3
42329	2
42330	1
42333	4
42351	1
42373	1
42380	1
42387	1
42398	1
42407	1
42410	1
42415	1
42428	1
42439	1
42446	1
42465	1
42474	1
42475	4
42477	1
42478	1
42481	1
42484	1
42489	1
42490	1
42491	1
42494	2
42495	1
42496	3
42523	1
42524	1
42535	1
42540	1
42555	1
42562	1
42565	1
42580	1
42585	1
42586	1
42589	1
42594	1
42603	1
42608	1
42621	1
42630	1
42649	1
42670	2
42707	3
42711	4
42712	1
42717	1
42722	1
42747	1
42748	1
42751	1
42752	1
42753	1
42758	1
42759	1
42760	1
42763	1
42768	1
42773	1
42774	5
42776	2
42778	2
42787	3
42788	1
42793	1
42796	2
42797	10
42799	1
42803	1
42816	1
42818	1
42828	1
42832	1
42845	1
42846	1
42857	1
42861	1
42874	1
42875	1
42910	1
42919	1
42942	1
42945	1
42946	1
42967	1
42974	1
42979	1
42984	1
42993	1
43008	1
43011	1
43026	1
43037	1
43046	1
43098	1
43099	1
43116	1
43117	1
43144	1
43145	1
43156	1
43159	1
43163	1
43167	1
43168	1
43173	1
43188	1
43191	1
43192	3
43220	1
43235	1
43248	1
43253	1
43260	1
43261	1
43279	2
43284	1
43289	1
43296	1
43299	1
43308	1
43313	1
43332	1
43345	1
43346	1
43358	1
43377	1
43390	1
43397	1
43452	1
43457	1
43460	1
43474	1
43487	13
43488	13
43492	1
43526	1
43579	1
43584	1
43609	1
43610	1
43619	1
43624	1
43631	1
43634	1
43635	1
43636	1
43639	1
43693	2
43695	7
43696	13
43731	1
43742	1
43743	13
43744	3
43749	1
43770	1
43773	1
43776	1
43777	1
43780	1
43788	1
43809	1
43812	1
43867	1
43892	1
43895	1
43914	1
43915	1
43916	1
43917	1
43918	1
43919	1
43920	1
43921	1
43922	1
43927	1
43928	1
43933	1
43938	1
43939	1
43940	1
43941	1
43957	1
43972	1
43991	1
44008	1
44009	1
44012	1
44015	1
44048	1
44061	1
44068	1
44069	1
44094	1
44095	1
44098	1
44099	1
44100	1
44103	1
44106	1
44113	1
44170	1
44214	1
44221	1
44224	3
44243	1
44246	1
44252	1
44254	1
44256	6
44262	2
44326	1
44336	4
44339	1
44342	1
44343	1
44350	1
44367	1
44368	1
44373	1
44374	1
44377	1
44378	1
44381	3
44382	3
44383	1
44384	5
44385	1
44386	3
44387	1
44412	1
44413	5
44414	3
44418	1
44419	2
44455	1
44460	1
44461	19
44466	1
44493	1
44494	1
44503	1
44512	1
44531	1
44544	1
44553	1
44556	1
44557	1
44564	1
44583	4
44587	1
44588	5
44589	11
44593	3
44595	1
44600	1
44668	1
44673	3
44674	1
45229	1
47646	38629
47689	1
47706	1
47710	1
47716	1
47738	1
47751	1
47755	1
47764	1
47767	1
47778	1
47779	1
47783	1
47791	1
47795	1
47806	1
47807	1
47820	1
47824	1
47834	1
47836	1
47849	1
47853	1
47863	1
47865	1
47877	1
47882	1
47892	1
47894	1
47906	1
47911	1
47920	1
47923	1
47925	1190
47936	3
47949	1
47952	1
47957	1
47968	1
47977	1
47980	1
47985	1
48002	1
48003	1
48004	1
48005	1
48019	3
48035	1
48048	1
48065	1
48078	8
48089	1
48090	1
48091	1
48094	1
48096	1
48111	1
48112	2
48114	2
48115	1
48118	1
48128	1
48131	1
48154	1
48155	1
48156	3
48160	1
48164	1
48169	1
48172	1
48177	1
48186	1
48187	1
48196	1
48197	1
48210	1
48223	1
48226	1
48227	1
48230	1
48235	1
48252	1
48256	1
48277	1
48288	1
48301	1
48304	1
48319	1
48328	1
48329	1
48359	1
48361	1
48362	3
48363	1
48379	1
48396	1
48397	1
48416	1
48427	1
48428	1
48431	1
48436	1
48445	1
48448	1
48460	1
48461	2
48472	1
48481	1
48486	1
48489	1
48501	1
48518	1
48533	1
48536	1
48558	2
48559	1
48560	1
48569	1
48570	1
48583	1
48586	1
48587	1
48596	1
48605	1
48616	4
48617	1
48636	1
48639	1
48650	1
48651	1
48652	1
48661	1
48674	1
48679	1
48688	1
48699	1
48704	1
48709	1
48713	2
48715	1
48727	1
48736	1
48737	1
48738	1
48751	1
48763	1
48768	1
48777	1
48780	1
48781	1
48792	9382
48847	37
48938	167
49004	1
49029	1
49044	1
49057	1
49058	1
49069	1
49073	1
49086	1
49087	1
49098	1
49101	1
49115	1
49116	1
49127	1
49130	1
49143	14
49148	43
49172	741
49182	26
49183	6
49184	1
49185	1
49186	2
49187	1
49192	1
49207	1
49208	1
49225	1
49263	2
49287	1
49306	1
49307	1
49324	1
49339	1
49340	1
49343	3
49348	1
49351	1
49368	1
49369	1
49374	1
49377	1
49390	1
49399	1
49455	1
49470	1
49473	1
49489	2
49490	1
49497	1
49504	1
49515	1
49518	1
49533	1
49571	1
49572	1
49573	1
49574	54
49575	1
49576	2
49585	1
49586	1
49591	1
49608	1
49635	1
49637	1
49641	3
49662	1
49664	1
49670	3
49686	1
49687	1
49692	1
49693	1
49702	1
49724	73
49725	1
49726	3
49727	1
49733	1
49734	1
49737	1
49754	1
49765	1
49809	1
49820	1
49829	1
49832	1
49837	1
49880	1
49881	1
49890	1
49893	1
49898	1
49913	1
49918	1
49933	1
49936	1
49937	1
49938	1
49939	2
49943	1
49950	385
49977	5
49978	8
49983	1
49998	1
49999	1
50032	1
50039	2
50086	2
50101	14
50130	3
50147	1
50168	1
50172	8
50174	3
50188	1
50189	4
50219	1
50220	1
50234	2
50237	1
50240	1
50264	5
50289	1
50304	1
50309	1
50310	1
50319	1
50350	1
50381	1
50384	3
50385	3
50386	1
50424	14
50464	1
50480	1
50488	1
50491	1
50530	1
50547	1
50550	1
50558	1
50573	1
50587	1
50602	1
50658	1
50663	1
50664	1
50671	1
50680	1
50691	1
50709	1
50711	1
50714	1
50717	3
50748	4
50749	8
50763	2
50780	1
51430	58
51644	99
51740	70
51757	45
52207	49
52254	1
52256	1
52258	58
52474	121
52494	91
53174	60
53792	1
54395	41
54468	1
54523	1
54531	5
54532	8
54537	1
54560	2
54561	1
55487	1861
55520	1
55560	1
55562	1
55813	69
55977	41
56567	49
57161	39
57324	1
57656	39
57888	37
58052	46
58304	1
58311	1
58324	1
58329	1
58330	2
58334	1
58433	1
58446	4
58629	1
58668	41
58735	3
58736	3
58882	9
58954	5
59080	1
59470	1
59471	3
59482	1
60099	22
60174	47
60803	1
60965	1
61219	92
61362	36
61577	36
62516	19
62621	44
63390	39
63597	3
63598	29
63601	1
63618	4
63728	3
63800	1
64691	2
64940	1
64943	1
64944	1
64949	2
64970	1
64983	1
65000	1
65004	1
65899	1
65901	2
66606	80
67275	34
67277	1
67280	1
67428	47
67449	1
67507	1
68477	2
69180	491
69236	63
69279	2
70376	1
70744	137
70786	23
70797	1
71003	10
71038	98
71060	50
71157	39
71523	23
71532	1
71676	39
72538	56
72661	39
72758	55
72830	69
72996	1
73311	1
73457	796
73751	115
73757	2
73906	4287
74280	64
74693	1
74841	38
74843	17
74860	2
74893	3
74895	1
74896	1
74904	1
74905	20
74911	1
74912	6
75340	41
75469	1
75470	1
75734	1
75892	1
75945	1
75948	1
75955	1
76261	37
76520	1
76521	1
77397	1
77563	245
77570	1
77574	1
77594	1
77597	1
77598	1
77601	1
77610	1
77617	1
77624	1
77633	1
77634	1
77635	1
77636	1
77639	1
77646	1
77647	1
77648	1
77671	1
77674	1
77683	1
77684	1
77720	1
77726	6
77727	6
77728	2
77729	1
77794	3
78103	30782
78184	1
78814	1
78815	2
78821	1
78822	1
78826	1
78829	2
78863	1
78866	1
78873	1
78892	1
78907	1
78936	1
78945	1
78952	1
78955	1
78972	1
78985	1
79014	1
79017	1
79028	1
79032	1
79058	1
79069	1
79070	4
79071	1
79075	1
79088	1
79090	1
79105	1
79117	67
79212	1
79237	1
79243	3
79256	3
79284	2
79285	3
79287	1
79295	1
80025	63
80341	2
80406	2
80423	1
81008	58
81474	53
81498	1
82511	1
82525	1
83093	2
83295	49
83600	1
83641	5
83989	6
83990	28
84185	3085
84186	1
84189	10
84192	1
84193	3
84233	48
84423	50
84999	1
85012	1
85422	49
86707	75
87122	44
87527	278
87586	84
87658	128
87866	81
88079	1
88112	399
88387	50
88832	50
88833	165
89458	94
89507	48
89510	1
90294	1
90311	1
91208	1
91670	1
91792	1
92639	40
92739	1
92923	45
93039	2
93049	46
93631	1
94217	39
94344	1
94346	2
94612	36
94754	37
95715	2
96419	1
96573	1
97168	1
97172	2
97303	1
97362	1
97373	1
97402	1
97419	1
97422	1
97428	2
97438	2
97442	1
97444	1
97453	2
97455	1
97462	1
97494	2
97520	2
97539	1
97544	1
97578	2
97644	2
97654	2
97682	49
97995	1
98016	1
98037	1
98052	1
98059	2
98076	2
98079	1
98090	1
98095	2
98338	2
99446	2
99450	1
99458	1
99465	1
99466	34
99487	1
99488	1
99499	1
99500	1
99501	1
99514	1
99531	1
99556	38
99660	1
99669	1
99716	1
99717	1
99990	58
99999	1
100822	1
100837	3
100946	1
100955	1
101074	1
101285	1
101290	1
101765	1
102207	1
102326	1
103066	32
103527	1
103588	41
103603	1
103604	1
103605	1
103799	1
104078	1
105248	1
105593	3
105646	3
106334	1
106754	1
107100	1
107103	1
107208	27
107401	1
107408	1
108104	1
108109	1
108150	1
108151	1
108163	4
108174	1
108177	1
108186	1
108191	1
108203	1
108206	1
108215	1
108220	1
108232	1
108234	1
109546	3
109805	60
109867	1
109936	1
109940	4
109942	51
109953	1
109984	35
110680	4
111037	41
111800	1
112113	1
112170	46
112889	30
113033	4
113380	3
113462	3366
113766	736
114512	108
114533	71
116518	4
116588	1
116589	1
117025	2
117288	5
117361	1
117370	1
117371	1
117402	1
117405	1
117410	1
117421	4
117422	5
117423	5
117989	34039
118031	1
119503	122
119522	283
120881	1
121989	44
122261	48
122457	244
122697	3
122999	71
123000	36
123369	41
123379	661
123382	12
123386	4
123439	1
123440	2
123441	1
123453	1
123454	1
123532	1
123535	1
123577	1
123578	10
123579	1
123585	1
123654	1
123721	1
123789	1
123804	1
123829	1
123834	1
123843	1
123844	1
123857	1
123858	1
123863	1
123882	1
123887	1
123889	1
123894	1
123913	2
123915	3
123926	1
123928	2
123934	2
123955	1
123960	1
123986	4
123989	1
123990	4
123992	3
124007	1
124014	1
124022	1
124028	1
124042	1
124043	2
124062	2
124063	4
124065	1
124066	1
124080	2
124083	12
124088	1
124101	1
124102	1
124107	3
124110	1
124113	1
124114	1
124115	1
124124	1
124125	1
124130	1
124135	3
124136	1
124139	1
124140	1
124147	1
124163	2
124173	6
124179	3
124180	3
124191	1
124194	1
124197	1
124202	1
124203	1
124206	1
124209	1
124218	1
124227	1
124236	1
124250	39
124251	5
124264	1
124269	1
124270	1
124291	1
124292	6
124293	6
124298	1
124356	1
124357	3
124358	3
124360	2
124413	5
124414	4
124419	4
124424	1
124429	1
124430	1
124435	1
124438	1
124443	1
124444	1
124445	2
124488	1
124489	1
124512	1
124539	1
124540	1
124541	1
124575	1
124576	3
124577	1
124578	1
124579	1
124580	1
124581	3
124582	1
124583	1
124586	1
124587	1
124588	1
124589	1
124590	1
124678	3
124679	3
124680	5
124681	1
124682	3
124685	1
124688	1
124693	1
124694	1
124697	1
124700	1
124705	3
124706	1
124709	1
124716	3
124729	1
124734	3
124735	1
124736	7
124737	5
124740	1
124749	1
124772	1
124774	1
124775	3
124777	2
124778	1
124779	1
124780	1
124782	1
124859	742
125270	38
125825	89
126127	1
126136	1
126137	4
126617	4
127342	1
127742	114
128354	1
128450	2
128468	2
129522	3
130005	1
130388	1
130626	66
131157	1
131929	1
131932	1
131986	1
132083	57
132096	38
132173	31
132210	3
132291	54
132310	414
132387	1
132472	44
132501	2
132874	145
133209	42
133436	35
134380	1855
134751	43
134762	1145
134996	104
135283	145
135470	106
135512	1
135601	1
135607	15
135608	33
135856	1
137096	1
137109	1
137201	1
137660	50
137688	76
137720	1488
138362	35
138574	1
138665	1
138711	1
138733	1
138737	2
139070	108
139138	81
139374	177
139514	38
139693	41
140346	40
140620	1
140846	108
140984	225
141096	344
141220	25
141361	49
141666	25
141926	4
141929	5
141930	1
141933	1
141934	1
141935	1
141950	1
141979	1
142065	1
142068	1
142079	1
142099	1
142114	1
142115	1
142120	1
142123	1
142126	1
142129	1
142130	1
142137	1
142158	1
142159	1
142160	1
142192	1
142193	1
142218	1
142239	1
142465	1
142506	1
142523	1
142541	1
142562	1
142575	1
142590	1
142595	1
142596	1
142601	1
142604	7
142605	5
142606	1
142608	4
142609	3
142610	47
142699	69
142725	55
142856	1
142857	1
142858	1
142863	1
142875	1
142882	1
142897	1
142898	1
142913	1
142920	1
142937	1
142938	1
142939	1
142955	1
142958	1
142987	1
142988	1
142989	1
142992	1
142995	1
142996	11
142997	1
142998	1
142999	4
143000	2
143001	56
143018	1
143019	1
143020	1
143023	1
143059	1
143068	1
143069	1
143070	1
143073	1
143078	1
143081	1
143082	1
143083	1
143090	1
143093	1
143094	1
143124	1
143127	1
143128	11
143129	7
143130	3
143131	83
143135	1
143164	1
143167	1
143168	1
143171	5
143183	1
143198	1
143209	1
143210	1
143221	1
143248	1
143249	1
143257	14
143258	1
143259	8
143268	1
143275	1
143282	1
143287	1
143297	1
143304	1
143636	1
143915	26
143917	1
143920	1
143929	1
143934	1
143946	1
143949	1
144017	1
144018	1
144019	1
144024	1
144027	1
144028	1
144033	1
144065	1
144088	1
144101	1
144102	1
144105	1
144114	1
144117	1
144142	1
144143	1
144150	1
144166	1
144193	1
144194	1
144204	4
144207	1
144210	1
144220	1
144222	1
144227	1
144228	1
144237	1
144242	1
144273	3
144283	2
144293	1
144310	1
144315	1
144316	1
144317	1
144318	1
144323	1
144326	1
144331	1
144332	1
144339	1
144340	1
144364	1
144365	3
144366	1
144367	1
144370	14
144371	1
144374	1
144375	1
144376	19
144380	1
144381	1
144382	1
144393	1
144394	1
144395	1
144396	1
144399	1
144404	1
144500	1
144501	1
144512	1
144586	1
144596	1
144602	1
144615	1
144624	1
144627	1
144630	1
144698	3
144725	1
144735	13
144736	1
144737	10
144754	1
144757	25
144767	1
144772	1
144823	1
144824	1
144827	1
144830	1
144836	1
144839	1
144840	1
144855	1
144868	1
144875	1
144904	1
144911	1
144912	1
144921	1
144928	1
144939	1
144947	2
144953	1
144954	1
144955	1
144956	1
144965	1
144984	1
144991	1
144996	1
144997	1
145009	5
145010	5
145011	1
145012	133
145027	1
145284	1
145285	2
145296	2
145298	1
145303	1058
145317	1
145343	1
145345	1
145360	1
145373	1
145376	1
145387	6
145388	2
145393	1
145396	1
145416	2
145452	11
145544	1
145548	1
145631	1
145632	1
处理前列数 	145825
处理后列数 	148177
