在原文件第几行	插值缺少几行
86077	1
86090	1
86201	71
86250	53
87125	718
87932	503
88414	142
89446	46
89451	44
89501	110
90639	97
90667	58
90804	141
91599	1
91669	1
91673	1
92117	378
92120	46
92176	55
92304	51
92947	221
93618	132
93660	77
93678	101
93718	224
94691	54
95425	49
95614	74
96643	22
96657	33
96723	66
97227	359
97349	59
97452	9
97895	248
97913	197
98564	41
98575	37
99186	1
100745	36
100834	54
101318	285
101375	307
101480	74
101516	1
101694	1
101697	1
101781	155
102319	1
102374	1
102412	1
102416	1
102479	1
103021	802
103359	1
103364	51
103518	1
103593	57
104040	1758
104073	1
104091	41
104104	37
104216	1
104462	906
105015	90
105160	793
105357	370
105726	1
105779	104
105922	37
105992	244
106290	87
106411	107
107064	40
107152	74
107689	42
107880	45
107937	50
108090	38
108095	44
108132	94
108176	70
108217	60
108374	48
108587	14579
109008	45
109296	570
109461	106
109571	42
109884	25906
109971	52
110532	90
110642	1496
110903	5399
111021	214
111290	65
111316	40
111468	42
111848	40
111853	45
113122	92
113273	46
113469	1
113777	1
113866	1
113893	1
114108	45
114245	208
114502	137
114712	439
114939	56
114951	103
115274	630
115443	97
115505	120
116098	124
116160	46
116514	40
116584	537
116938	219
116956	1
117351	230
117356	46
117459	94
117608	1
117675	82
118094	61
118111	1118
118302	52
118345	55
118633	174
118649	176
118651	1
118655	1
118658	6
118659	4
118660	3
118666	1
120641	42
120695	126
120699	49
120898	182
120998	68
121372	1
122159	1
122395	84
122496	85
122731	60
123141	964
123667	79
123900	229
124037	1
124983	195
125140	227
125150	151
125151	59
125238	67
125241	52
125400	201
125569	57
125997	122
126692	47
126695	1
126707	1
126739	1
127443	84
127954	352
129458	2635
129517	204
129530	1
129988	754
130033	174
130780	239
131082	78
131165	39
131285	723
131410	103
131874	213
131991	47
132270	61
132795	114
133215	1
133591	55
133598	121
134229	1
134354	1
134463	2483
134800	44
135352	280
135506	293
136587	42
136793	99
136869	44
136899	66
137346	211
137500	41
137812	36
137821	61
138181	1367
138545	51
138604	34
138875	55
138934	48
138958	55
139041	36
139056	12
139057	1
139099	67
139212	36
139432	13
139454	1
139462	32
139733	13
139740	1
139741	78
139779	42
139845	13
139991	52
140191	35
140226	112
140772	404
141053	46
141682	55
141829	284
141888	280
143451	66
143499	49
143919	1595
144514	837
145002	5544
145005	82
145372	154
145741	38
146223	50
146345	153
146353	68
146671	6515
146878	1
147344	133
147547	87
148357	69
148859	52
149334	1
149585	35
150596	38
150923	37
151682	90
151891	65
152074	694
152166	1
152176	1
152215	43
152352	4
152353	24
152357	20
152412	4
153034	29
153090	14
153138	46
153251	29
153522	29
154058	7
154118	57
154166	46
154352	268
154514	52
154561	59
155059	55
155277	102
155312	1
155657	1216
155762	32
155779	3321
156189	97
156273	8439
156468	103
156507	48
156535	38
156607	43
156631	48
156658	37
156686	49
156712	95
156737	50
157839	604
158749	171
158784	49
158857	153
158985	131
159113	54
159221	46
160073	65
160081	42
160753	32
160807	38
160848	59
160928	55
160961	591
161533	62
161782	54
162029	705
162240	38
162248	42
162396	39
162452	75
162863	537
162893	3003
163690	85
163823	58
164136	48
164248	70
164337	11225
164562	104
164944	87
164951	56
165032	39
165053	10
165286	47
165481	26
165482	1
165490	1
165496	1
165507	1
165508	30
165653	27
165657	1
165669	31
166346	75
166391	95
167034	37
167865	111
167888	1
167904	10
167905	162
168404	35
170206	32
170327	94
170793	14
170911	226
171463	42
171758	288
172019	88
172029	61
172042	117
173401	179
173455	105
173471	1268
173617	491
173690	55
174050	73
174334	39
174382	40
174491	66
174545	110
174714	92
174930	37
175209	239
175210	5
175864	97
176223	51
176622	37
176697	63
177183	134
177358	80
177492	10
177645	24
177796	19098
178320	142
178597	68
178600	60
179643	82
179645	1
179652	1
179659	1
179660	1
179664	1
179729	3
179814	3
180301	3
180325	54
180367	43
180374	45
180414	3
180649	3
181111	35
181269	46
181292	40
181425	116
181450	40
181534	54
181751	64
181812	46
182016	76
182136	113
182346	39
182446	54
183468	640
183607	482
184165	39
184172	636
184273	61
184580	4603
184665	85
185053	2392
185686	733
处理前列数 	185725
处理后列数 	185856
